19:16:57,635 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - Active log file name: /tmp/spring.log
19:16:57,635 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[FILE] - File property is set to [/tmp/spring.log]
19:16:57,635 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
19:16:57,635 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating INFO level on Logger[ROOT] onto the JUL framework
19:16:57,635 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[ROOT]
19:16:57,635 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [FILE] to Logger[ROOT]
19:16:57,635 |-INFO in ch.qos.logback.classic.joran.action.JMXConfiguratorAction - begin
19:16:57,636 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
19:16:57,636 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [INFO_FILE]
19:16:57,637 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@2001112025 - Archive files will be limited to [100 MB] each.
19:16:57,637 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@2001112025 - No compression will be used
19:16:57,637 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@2001112025 - Will use the pattern c:/dev/log4jlogs/micro-account-service-info-%d{yyyyMMdd}.log.%i for the active file
19:16:57,638 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@12bb4df8 - The date pattern is 'yyyyMMdd' from file name pattern 'c:/dev/log4jlogs/micro-account-service-info-%d{yyyyMMdd}.log.%i'.
19:16:57,638 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@12bb4df8 - Roll-over at midnight.
19:16:57,638 |-INFO in ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP@12bb4df8 - Setting initial period to Wed Apr 10 19:16:55 CST 2019
19:16:57,639 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
19:16:57,639 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[INFO_FILE] - Active log file name: c:/dev/log4jlogs/micro-account-service-info.log
19:16:57,639 |-INFO in ch.qos.logback.core.rolling.RollingFileAppender[INFO_FILE] - File property is set to [c:/dev/log4jlogs/micro-account-service-info.log]
